,base_market,quote_market,hedge_ratio,half_life
0,AAVE-USD,UMA-USD,41.41075838144019,8.0
1,AAVE-USD,SOL-USD,3.694629924850135,13.0
2,AAVE-USD,ADA-USD,218.86087194940112,6.0
3,AAVE-USD,LTC-USD,0.8753313654897288,9.0
4,ZEC-USD,ATOM-USD,3.2179803731210286,16.0
5,ZEC-USD,YFI-USD,0.006122656886271346,19.0
6,ZEC-USD,EOS-USD,42.255264435350966,11.0
7,ZEC-USD,UNI-USD,6.73916375152049,16.0
8,ZEC-USD,ETC-USD,2.0526905878421426,17.0
9,ALGO-USD,EOS-USD,0.24028180117127587,10.0
10,ALGO-USD,ZRX-USD,1.0708587405651475,8.0
11,ETH-USD,UMA-USD,788.4033056155919,1.0
12,ETH-USD,SOL-USD,70.30121954431867,1.0
13,ETH-USD,ADA-USD,4165.99361592182,1.0
14,ETH-USD,ENJ-USD,3503.4359554197986,1.0
15,ETH-USD,CRV-USD,1536.1078440633971,1.0
16,ETH-USD,SNX-USD,628.8618022446234,1.0
17,ETH-USD,SUSHI-USD,1160.0270632758431,2.0
18,ETH-USD,FIL-USD,306.7898079588199,1.0
19,ETH-USD,ATOM-USD,114.24357088902504,1.0
20,ETH-USD,XTZ-USD,1445.4202721328952,1.0
21,ETH-USD,BTC-USD,0.07039770492503414,1.0
22,ETH-USD,LINK-USD,228.3316027161459,1.0
23,ETH-USD,COMP-USD,30.73775643148494,1.0
24,ETH-USD,YFI-USD,0.21739408682905262,1.0
25,ETH-USD,ICP-USD,284.8824616235688,1.0
26,ETH-USD,DOT-USD,247.44127413630514,1.0
27,ETH-USD,NEAR-USD,668.5008701419263,2.0
28,ETH-USD,EOS-USD,1499.7393436525472,1.0
29,ETH-USD,UNI-USD,239.24842194500368,1.0
30,ETH-USD,ETC-USD,72.87307204154254,1.0
31,ETH-USD,LTC-USD,16.66291475417384,1.0
32,ETH-USD,BCH-USD,12.21126659179413,1.0
33,ETH-USD,AVAX-USD,82.26721380596865,1.0
34,ETH-USD,XLM-USD,18018.740329235545,1.0
35,ETH-USD,RUNE-USD,902.8510254030407,1.0
36,UMA-USD,ADA-USD,5.283227950459245,7.0
37,UMA-USD,ATOM-USD,0.14489165415829416,9.0
38,UMA-USD,COMP-USD,0.03898489613162272,4.0
39,UMA-USD,DOT-USD,0.3138331611520043,6.0
40,UMA-USD,DOGE-USD,22.95799072317267,1.0
41,UMA-USD,EOS-USD,1.9018765885387972,14.0
42,UMA-USD,ETC-USD,0.09242516458744003,8.0
43,UMA-USD,RUNE-USD,1.1451647963581302,5.0
44,1INCH-USD,CELO-USD,0.7119526655282091,11.0
45,1INCH-USD,XTZ-USD,0.492220097045376,12.0
46,1INCH-USD,ZRX-USD,2.2757185236404904,8.0
47,SOL-USD,DOGE-USD,257.31151062246636,1.0
48,SOL-USD,BCH-USD,0.17347744656991132,20.0
49,ADA-USD,BTC-USD,1.6894504975512988e-05,12.0
50,ADA-USD,EOS-USD,0.3598719395944039,18.0
51,ADA-USD,LTC-USD,0.003998959863343722,11.0
52,ENJ-USD,CRV-USD,0.4381072139921252,22.0
53,ENJ-USD,SNX-USD,0.17935457925600587,21.0
54,ENJ-USD,FIL-USD,0.08750359180551227,12.0
55,ENJ-USD,ATOM-USD,0.03259294255615774,14.0
56,ENJ-USD,XTZ-USD,0.41240147615888495,15.0
57,ENJ-USD,BTC-USD,2.0078417147199148e-05,16.0
58,ENJ-USD,LINK-USD,0.06515198474635298,8.0
59,ENJ-USD,YFI-USD,6.200680094805307e-05,17.0
60,ENJ-USD,ICP-USD,0.08124149782511916,20.0
61,ENJ-USD,DOT-USD,0.07058874546812433,11.0
62,ENJ-USD,EOS-USD,0.42784698188842407,11.0
63,ENJ-USD,ZRX-USD,1.9056812104123206,19.0
64,ENJ-USD,UNI-USD,0.06824316532040514,20.0
65,ENJ-USD,ETC-USD,0.0207883912655336,16.0
66,ENJ-USD,LTC-USD,0.004752996367986258,13.0
67,ENJ-USD,BCH-USD,0.0034827885028019916,17.0
68,ENJ-USD,XLM-USD,5.139756369737423,16.0
69,ENJ-USD,RUNE-USD,0.25754234646531876,14.0
70,SNX-USD,DOT-USD,0.3927095326507668,15.0
71,SNX-USD,EOS-USD,2.37909427178485,22.0
72,SUSHI-USD,DOT-USD,0.21290723755192303,14.0
73,FIL-USD,LTC-USD,0.05428513911488279,8.0
74,CELO-USD,ZRX-USD,3.1939509072946883,10.0
75,ATOM-USD,YFI-USD,0.0019022437621573026,8.0
76,ATOM-USD,DOT-USD,2.165287825832061,7.0
77,ATOM-USD,UNI-USD,2.0934828940051413,11.0
78,ATOM-USD,ETC-USD,0.6377006952198536,9.0
79,XTZ-USD,DOT-USD,0.17113256309199643,8.0
80,XTZ-USD,EOS-USD,1.0371118897783769,15.0
81,BTC-USD,LTC-USD,236.67024865143395,8.0
82,LINK-USD,YFI-USD,0.0009514992828034706,20.0
83,LINK-USD,EOS-USD,6.566702687955325,6.0
84,YFI-USD,UNI-USD,1100.4691904175725,6.0
85,YFI-USD,ETC-USD,335.20038729288666,6.0
86,YFI-USD,RUNE-USD,4152.985182686467,6.0
87,ICP-USD,LTC-USD,0.058442540950815844,12.0
88,DOT-USD,UNI-USD,0.9666125959739487,10.0
89,DOGE-USD,UNI-USD,0.0131781720597209,1.0
90,DOGE-USD,ETC-USD,0.004014103884109537,1.0
91,DOGE-USD,XMR-USD,0.0005318210403375095,1.0
92,DOGE-USD,BCH-USD,0.0006727887277631088,1.0
93,DOGE-USD,AVAX-USD,0.00453441216187142,1.0
94,DOGE-USD,XLM-USD,0.9926864636647535,1.0
95,DOGE-USD,RUNE-USD,0.0497393833960659,1.0
96,EOS-USD,ETC-USD,0.04857503608257812,14.0
97,EOS-USD,LTC-USD,0.011107438959188778,8.0
98,EOS-USD,XLM-USD,12.011391226854267,13.0
99,EOS-USD,RUNE-USD,0.6017633049462529,10.0
100,UNI-USD,ETC-USD,0.3045642259416729,4.0
101,UNI-USD,AVAX-USD,0.34386477437578455,18.0
102,UNI-USD,XLM-USD,75.29458148662974,10.0
103,LTC-USD,XLM-USD,1081.1847169517575,12.0
104,BCH-USD,XLM-USD,1475.4703587440954,6.0
